,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
0,1,Guildfast Lane,June,Cooper,52,Head,Divorced,Female,Unemployed,None,Christian
1,1,Guildfast Lane,Rita,Cooper,10,Daughter,NA,Female,Student,None,NA
2,2,Guildfast Lane,Melanie,Atkinson,52,Head,Married,Female,"Producer, television/film/video",None,Catholic
3,2,Guildfast Lane,Stuart,Atkinson,53,Husband,Married,Male,Aid worker,None,Christian
4,3,Guildfast Lane,Donna,Finch,44,Head,Married,Female,Translator,None,None
5,3,Guildfast Lane,Marcus,Finch,46,Husband,Married,Male,Immigration officer,None,None
6,3,Guildfast Lane,Jennifer,Humphries,13,Daughter,NA,Female,Student,None,NA
7,3,Guildfast Lane,Megan,Humphries,12,Daughter,NA,Female,Student,None,NA
8,3,Guildfast Lane,Angela,Humphries,10,Daughter,NA,Female,Student,None,NA
9,4,Guildfast Lane,Sharon,Tyler,19,Head,Single,Female,Charity fundraiser,None,Catholic
10,4,Guildfast Lane,Hugh,Davies,19,Partner,Single,Male,University Student,None,Catholic
11,5,Guildfast Lane,Connor,Murphy,30,Head,Single,M,"Programmer, applications",None,Catholic
12,6,Guildfast Lane,Stacey,Jones,39,Head,Married,Female,Claims inspector/assessor,None,Catholic
13,6,Guildfast Lane,Derek,Jones,38,Husband,Married,Male,Analytical chemist,None,Catholic
14,6,Guildfast Lane,Carolyn,Jones,11,Daughter,NA,Female,Student,None,NA
15,6,Guildfast Lane,Dawn,Jones,7,Daughter,NA,Female,Student,None,NA
16,1,Hall Lane,Maria,Johnson,48,Head,Single,Female,Commercial/residential surveyor,None,None
17,1,Hall Lane,Sam,Webster,48,Partner,Single,M,Waste management officer,None,None
18,1,Hall Lane,Michelle,Johnson,16,Daughter,NA,Female,Student,None,NA
19,2,Hall Lane,Melissa,Clarke,76,Head,Married,Female,Retired Radio producer,None,Methodist
20,2,Hall Lane,Cameron,Clarke,76,Husband,Married,Male,"Retired Civil engineer, contracting",Mental Disability,None
21,3,Hall Lane,Pamela,Andrews,48,Head,Married,Female,"Teacher, adult education",None,Catholic
22,3,Hall Lane,James,Andrews,50,Husband,Married,Male,Mining engineer,None,Catholic
23,3,Hall Lane,Gerard,Andrews,11,Son,NA,Male,Student,None,NA
24,4,Hall Lane,Sharon,Whitehead,79,Head,Widowed,Female,Retired Musician,None,Catholic
25,5,Hall Lane,Samantha,Long,64,Head,Divorced,Female,Primary school teacher,None,Catholic
26,5,Hall Lane,Emma,Long,31,Daughter,Single,Female,Immigration officer,None,Catholic
27,6,Hall Lane,Jayne,Dean,67,Head,Single,Female,Materials engineer,None,None
28,7,Hall Lane,Marie,Leach,60,Head,Married,Female,Higher education careers adviser,None,None
29,7,Hall Lane,Timothy,Leach,62,Husband,Married,Male,Quarry manager,None,None
30,8,Hall Lane,Harriet,Young,26,Head,Married,Female,Market researcher,None,None
31,8,Hall Lane,Lawrence,Young,26,Husband,Married,Male,Records manager,None,None
32,9,Hall Lane,Gail,Scott,19,Head,Single,Female,University Student,None,None
33,9,Hall Lane,Valerie,Edwards,20,None,Single,Female,University Student,None,Christian
34,9,Hall Lane,Jonathan,Woods,18,None,Single,Male,University Student,None,None
35,10,Hall Lane,Norman,Bennett,22,Head,Single,Male,University Student,None,Catholic
36,10,Hall Lane,Colin,Taylor,18,None,Single,Male,University Student,None,Catholic
37,10,Hall Lane,Robert,Iqbal,19,None,Single,Male,University Student,None,Christian
38,10,Hall Lane,Maria,Hall,23,None,Single,Female,PhD Student,None,Christian
39,10,Hall Lane,Chelsea,Scott,21,None,Single,Female,University Student,None,None
40,11,Hall Lane,Chelsea,Short,33,Head,Married,Female,"Engineer, electrical",None,Christian
41,11,Hall Lane,Derek,Short,37,Husband,Married,Male,Field seismologist,None,None
42,11,Hall Lane,Stacey,Short,0,Daughter,NA,Female,Child,None,NA
43,11,Hall Lane,Melanie,Short,0,Daughter,NA,Female,Child,None,NA
44,12,Hall Lane,Bethan,Scott-Hughes,79,Head,Married,Female,"Retired Doctor, general practice",None,None
45,12,Hall Lane,George,Scott-Hughes,83,Husband,Married,Male,"Retired Loss adjuster, chartered",None,None
46,12,Hall Lane,Alison,Scott-Hughes,37,Daughter,Divorced,Female,Sales promotion account executive,None,None
47,12,Hall Lane,Mohammad,Scott-Hughes,37,Son,Single,Male,Financial risk analyst,None,None
48,13,Hall Lane,Alexandra,Jones,38,Head,Divorced,Female,Unemployed,None,Catholic
49,13,Hall Lane,Dawn,Jones,5,Daughter,NA,Female,Student,None,NA
50,13,Hall Lane,Kimberley,Jones,1,Daughter,NA,Female,Child,None,NA
51,13,Hall Lane,Darren,Jones,0,Son,NA,Male,Child,None,NA
52,13,Hall Lane,Tina,John,35,Lodger,Single,Female,Plant breeder/geneticist,None,Christian
53,14,Hall Lane,Sheila,Young,59,Head,Married,Female,Medical physicist,None,None
54,14,Hall Lane,Dale,Young,62,Husband,Married,Male,"Therapist, sports",None,None
55,14,Hall Lane,Kimberley,Harris-Young,34,Daughter,Single,Female,Air traffic controller,None,None
56,14,Hall Lane,Jay,Harris-Young,30,Son,Single,Male,"Programme researcher, broadcasting/film/video",None,None
57,14,Hall Lane,Abbie,Harris-Young,27,Daughter,Single,Female,Adult guidance worker,None,None
58,15,Hall Lane,Francis,Murray,41,Head,Married,Male,Armed forces technical officer,None,Catholic
59,15,Hall Lane,Rebecca,Murray,38,Wife,Married,Female,Best boy,None,Catholic
60,16,Hall Lane,Christine,Cooke,55,Head,Married,Female,Radiation protection practitioner,None,Christian
61,16,Hall Lane,Stephen,Potts,57,Husband,Married,Male,Unemployed,None,Christian
62,16,Hall Lane,Bethan,Cooke,17,Daughter,NA,F,Student,None,NA
63,17,Hall Lane,Lynne,Miller,54,Head,Married,Female,"Designer, blown glass/stained glass",None,Christian
64,17,Hall Lane,Samuel,Miller,57,Husband,Married,Male,Hydrogeologist,None,Christian
65,18,Hall Lane,Kathleen,Brown,75,Head,Married,Female,"Retired Engineer, site",None,None
66,18,Hall Lane,Anthony,Brown,80,Husband,Married,Male,Retired Tree surgeon,None,None
67,18,Hall Lane,Philip,Brown,44,Son,Divorced,Male,"Librarian, academic",None,None
68,18,Hall Lane,Sharon,Brown,43,Daughter,Single,Female,Armed forces logistics/support/administrative officer,None,None
69,1,Mistry Avenue,Kimberley,Wood,35,Head,Single,Female,Herpetologist,None,None
70,1,Mistry Avenue,Steven,Wood,6,Son,NA,Male,Student,None,NA
71,1,Mistry Avenue,Jeffrey,Wood,3,Son,NA,Male,Child,None,NA
72,2,Mistry Avenue,Vincent,Abbott-Berry,43,Head,Married,Male,Sub,None,Methodist
73,2,Mistry Avenue,Rachael,Abbott-Berry,39,Wife,Married,Female,Astronomer,None,None
74,3,Mistry Avenue,Gordon,Reid,57,Head,Single,Male,Furniture designer,None,Christian
75,3,Mistry Avenue,Kate,Miles,54,Partner,Single,Female,Banker,None,Christian
76,4,Mistry Avenue,Louise,Field,42,Head,Single,Female,Animal nutritionist,None,Christian
77,4,Mistry Avenue,Lisa,Field,5,Daughter,NA,Female,Student,None,NA
78,4,Mistry Avenue,Megan,Field,1,Daughter,NA,Female,Child,None,NA
79,5,Mistry Avenue,Leah,Brown,32,Head,Married,Female,"Research officer, trade union",None,Sikh
